Date,Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
2017-03-10,1116.719971,563795968,0.17936409468554187,-0.00035821424384637797,4,3,1
2017-03-11,1175.829956,283320000,0.06943350808854934,0.0006718990241476539,5,3,1
2017-03-12,1221.380005,227176000,0.04391845533179353,0.00032751805200874427,6,3,1
2017-03-13,1231.920044,380276992,0.016712788933164444,0.0001948097209464954,0,3,1
2017-03-14,1240.0,245306000,0.019734327751077585,0.00012905967741935162,1,3,1
2017-03-15,1249.609985,297804992,0.00956643274853805,0.0013764062552685085,2,3,1
2017-03-16,1187.810059,638568000,0.09157964354170192,-0.006440444700763319,3,3,1
2017-03-17,1100.22998,706598976,0.07329237061559331,-0.0004908419237948586,4,3,1
2017-03-18,973.817993,621302016,0.16333117068609912,0.002990278492420572,5,3,1
2017-03-19,1036.73999,406648000,0.09540001423934988,0.000482281000851525,6,3,1
2017-03-20,1054.22998,286529984,0.025417654075941244,0.0010718771249514103,0,3,1
2017-03-21,1120.540039,337391008,0.06355184008611041,9.815356539888133e-05,1,3,1
2017-03-22,1049.140015,380840992,0.10494867896306384,0.0008674094849008271,2,3,1
2017-03-23,1038.589966,248540000,0.02826232540001212,-0.00013481258685677354,3,3,1
2017-03-24,937.52002,491038016,0.11356675203020218,-0.001045355810108488,4,3,1
2017-03-25,972.778992,435803008,0.07972439476203473,0.0012706102929493008,5,3,1
2017-03-26,966.724976,303668000,0.056355940524441324,0.005513478116655174,6,3,1
2017-03-27,1045.77002,372535008,0.07656094576757591,-0.0011379786924852686,0,3,1
2017-03-28,1047.150024,326332000,0.03592387564679193,-0.0010218860482974995,1,3,1
2017-03-29,1039.969971,298457984,0.03863645293422217,0.00215389873021635,2,3,1
2017-03-30,1026.430054,352968992,0.028675406484901588,0.0002045546105960194,3,3,1
2017-03-31,1071.790039,447287008,0.0470272230719548,-7.471426033654124e-05,4,3,1
2017-04-01,1080.5,289633984,0.02886654853166332,0.00010179083757524436,5,4,2
2017-04-02,1102.170044,514187008,0.02988517965909503,0.0007076104129718969,6,4,2
2017-04-03,1143.810059,580444032,0.04423595010432162,0.001494969367112395,0,4,2
2017-04-04,1133.25,436310016,0.03205647410030225,0.0007853651003749821,1,4,2
2017-04-05,1124.780029,414784000,0.0192702790905854,0.0009157612808218672,2,4,2
2017-04-06,1182.680054,511222016,0.055568819535658565,-0.003162404732666471,3,4,2
2017-04-07,1176.900024,317022016,0.01993307549575289,-0.0036111818449584814,4,4,2
2017-04-08,1175.949951,209312000,0.019267512642373502,0.0005272290708229447,5,4,2
2017-04-09,1187.869995,242343008,0.021632256689778487,-0.00047980503118952224,6,4,2
2017-04-10,1187.130005,215883008,0.009584006162830595,0.0002779442846278983,0,4,2
