Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
16624.599609,22149699584,0.11550153327137587,0.0010707495169003463,2,12,4
15802.900391,16516599808,0.14502004182582537,0.006017857902474758,3,12,4
13831.799805,22197999616,0.34736756452294426,0.00845156752180154,4,12,4
14699.200195,13086000128,0.12831195873979165,-0.006190813023347628,5,12,4
13925.799805,11572299776,0.14734420925091427,0.005033864265004681,6,12,4
14026.599609,10664699904,0.08507012289016817,0.0007129311649833948,0,12,4
16099.799805,13454300160,0.17337772456923273,0.003956583048952977,1,12,4
15838.5,12487600128,0.12019085299598492,0.0016162899895823962,2,12,4
14606.5,12336499712,0.13999129051525763,0.006113703145859758,3,12,4
14656.200195,13025500160,0.06793877123086602,0.0017535374556883758,4,12,4
12952.200195,14452599808,0.18880825708488408,-0.004207779310038683,5,12,4
14156.400391,12136299520,0.1271442214959225,-0.0031222764812515666,6,12,4
13657.200195,10291200000,0.07278767176799197,-0.0023577449653105448,0,1,1
14982.099609,16846600192,0.1732808705637379,-0.00026027153081126887,1,1,1
15201.0,16871900160,0.049061928997271756,0.004585237484375991,2,1,1
15599.200195,21783199744,0.08383715853326315,-0.00782091379525372,3,1,1
17429.5,23840899072,0.1646012212288023,0.0018703697180068725,4,1,1
17527.0,18314600448,0.05653584362916582,1.7161008729487897e-05,5,1,1
16477.599609,15866000384,0.09273540629901086,-8.498750019618327e-05,6,1,1
15170.099609,18413899776,0.16396870567884056,-0.0030586097122575154,0,1,1
14595.400391,16659999744,0.07442457016084304,-0.00047277846548521025,1,1,1
14973.299805,18500800512,0.0936440627366052,-0.00034058023724992267,2,1,1
13405.799805,16534099968,0.14595711526341337,0.0035880429888307326,3,1,1
13980.599609,12065699840,0.08145559114531235,-0.0020170249337409206,4,1,1
14360.200195,12763599872,0.05067942355324863,0.0007381241108109163,5,1,1
13772.0,11084099584,0.09374433260476338,-0.00034128630554744693,6,1,1
13819.799805,12750799872,0.05892225994635272,0.0011794529754405672,0,1,1
11490.5,18853799936,0.35784549903210544,-0.005169521865889145,1,1,1
11188.599609,18830600192,0.24203783882017305,0.0009116597569364123,2,1,1
11474.900391,15020399616,0.10644732053918214,-0.003930368409591771,3,1,1
11607.400391,10740400128,0.07345979938621935,0.004204197525385443,4,1,1
12899.200195,11801700352,0.1241227656351179,-0.000775241863745646,5,1,1
11600.099609,9935179776,0.14242307615275243,0.0028448031579312275,6,1,1
10931.400391,10537400320,0.1685709422793174,0.0011983468294497661,0,1,1
10868.400391,9660609536,0.1231921369811085,0.0032203451051530186,1,1,1
11359.400391,9940989952,0.0809790223303923,0.005484427157736255,2,1,1
11259.400391,8873169920,0.06586537325651956,-0.00030200462563861386,3,1,1
11171.400391,9746199552,0.11331102376203628,0.00031330002304990343,4,1,1
11440.700195,7583269888,0.05693773749655489,0.0030242563313670613,5,1,1
11786.299805,8350360064,0.04923618638301886,-0.002613186963641857,6,1,1
11296.400391,7107359744,0.0622942072646192,0.0009205953790631131,0,1,1
10106.299805,8637859840,0.12664155510102398,0.00018804013701025158,1,1,1
10221.099609,8041160192,0.06179336592065026,0.0015849758460170953,2,1,1
9170.540039,9959400448,0.16755249336813735,-0.003081581442294297,3,2,1
8830.75,12726899712,0.17261485599393114,0.002419966254281957,4,2,1
9174.910156,7263790080,0.1428954199011304,8.610863611376862e-05,5,2,1
8277.009766,7073549824,0.16232276878240226,-0.0007816502798602224,6,2,1
6955.27002,9285289984,0.23801032846163833,0.013871493086906793,0,2,1
7754.0,13999800320,0.29800975796911566,0.00019218906370903701,1,2,1
7621.299805,9169280000,0.175812799064682,0.0021728653148030868,2,2,1
8265.589844,9346750464,0.1205716895201433,0.0007561468833996017,3,2,1
8736.980469,6784820224,0.10809154835315071,-0.0019343514684465775,4,2,1
8621.900391,7780960256,0.09970262145711051,-0.0006692849300396898,5,2,1
8129.970215,6122189824,0.08637260613729297,0.0014095944630714205,6,2,1
8926.570313,6256439808,0.10372744441013054,1.6738119430026617e-05,0,2,1
8598.30957,5696719872,0.05949558468704517,0.00018728704600475248,1,2,1
9494.629883,7909819904,0.10681728729241073,-0.0006645409118365567,2,2,1
10166.400391,9062540288,0.0893206933508081,-0.0030197705007937435,3,2,1
10233.900391,7296159744,0.050818160545833546,-0.002579699820336,4,2,1
11112.700195,8660880384,0.09755252240102515,0.0009628799312712654,5,2,1
10551.799805,8744009728,0.09914776341274459,7.57978747494084e-05,6,2,1
11225.299805,7652089856,0.07234710610397552,0.000579049122332105,0,2,1
11403.700195,9926540288,0.06470024462833625,-0.0027622613240754356,1,2,1
10690.400391,9405339648,0.08964514376723673,-0.002806255977583057,2,2,1
10005.0,8040079872,0.11067510026222886,-0.006789573913043461,3,2,1
10301.099609,7739500032,0.077326583661761,-0.0013007751122311609,4,2,1
9813.070313,6917929984,0.1100066825424008,-0.0016967565164536936,5,2,1
9664.730469,5706939904,0.054869447052943485,0.0004862234922197792,6,2,1
10366.700195,7287690240,0.1024307660773323,0.00262380463294567,0,2,1
10725.599609,6966179840,0.061721085596758145,-0.0035801647833077657,1,2,1
10397.900391,6936189952,0.06703488104710223,-0.0012406726853399434,2,2,1
10951.0,7317279744,0.06757653528283218,0.0024107744498218626,3,3,1
11086.400391,7620590080,0.031234772325858303,0.001398109345986005,4,3,1
11489.700195,6690570240,0.04778955367140667,0.0006701824999185524,5,3,1
11512.599609,6084149760,0.03380896482783966,0.0017199227518100368,6,3,1
11573.299805,6468539904,0.022736934883200662,-0.006324920051615285,0,3,1
10779.900391,6832169984,0.07534853320862181,0.0022263656554783466,1,3,1
9965.570313,8797910016,0.12766864917714263,-0.0014178699819685481,2,3,1
9395.009766,7186089984,0.08692604586713948,0.002094799738391389,3,3,1
9337.549805,8704190464,0.11198354821121173,0.001396516138850145,4,3,1
8866.0,5386319872,0.07961182489537016,-0.0014910587638167939,5,3,1
